iter	RMSE
0	2580.392064
1	2506.367874
2	2434.108749
3	2349.847779
4	2293.1615
5	2236.477349
6	2171.531777
7	2112.147854
8	2051.137121
9	1998.029724
10	1946.633806
11	1885.692938
12	1837.093695
13	1783.375913
14	1731.987524
15	1696.715085
16	1655.736551
17	1609.376388
18	1562.738172
19	1528.776905
20	1495.688316
21	1459.721069
22	1428.591712
23	1396.707576
24	1364.920719
25	1330.321158
26	1296.997369
27	1266.844961
28	1240.340465
29	1210.053457
30	1182.435496
31	1149.410141
32	1126.119769
33	1100.849338
34	1073.85024
35	1050.902029
36	1029.295236
37	1006.59478
38	984.2195323
39	961.1728084
40	942.3818128
41	923.0745149
42	905.074545
43	890.3345276
44	875.5136043
45	859.4044646
46	842.1376302
47	823.7388972
48	808.4884617
49	791.9163696
50	779.4252881
51	763.2945202
52	751.4705663
53	737.1067656
54	721.9060196
55	710.7838107
56	695.6925231
57	682.7312341
58	669.0784186
59	657.1723394
60	645.016324
61	634.654478
62	624.1920762
63	612.7178556
64	601.389479
65	591.7793386
66	581.0429326
67	571.1121849
68	563.1171106
69	553.8128188
70	543.8484241
71	534.2120185
72	526.014627
73	517.0410437
74	508.3421964
75	500.9766298
76	493.1491546
77	486.1818745
78	479.0717267
79	471.7633344
80	466.6230316
81	460.9162699
82	454.6910974
83	449.8106642
84	443.8219303
85	438.5172153
86	432.2468723
87	427.6863099
88	421.6231851
89	415.7804394
90	409.9596981
91	405.6884058
92	400.1187477
93	395.3093307
94	389.6677195
95	384.5517482
96	379.9775612
97	374.7261488
98	369.2175071
99	364.8214682
100	360.6037516
101	356.4002085
102	351.4827742
103	346.669159
104	343.2298465
105	339.8576092
106	335.2365001
107	330.748625
108	326.0288916
109	321.761416
110	317.3830935
111	313.1938891
112	309.1448486
113	305.7452647
114	302.3534825
115	298.4183099
116	294.6263532
117	290.8196658
118	286.9908342
119	283.2448783
120	279.7011533
121	276.2327146
122	272.7338876
123	269.7915944
124	266.4960982
125	263.2734441
126	259.9830668
127	256.8761031
128	253.7877459
129	250.6624707
130	247.7091156
131	244.6858125
132	241.8387281
133	239.006546
134	236.2327095
135	233.5255476
136	230.8464336
137	228.2357221
138	225.6480021
139	223.1302485
140	220.5229962
141	218.1235899
142	215.7043417
143	213.3894403
144	211.0521077
145	208.7932951
146	206.4287289
147	204.2140926
148	202.0683461
149	199.9294107
150	197.8825801
151	195.8807907
152	193.8423083
153	191.7384698
154	189.8161936
155	187.7828692
156	185.9324497
157	184.0647175
158	182.2815617
159	180.4779444
160	178.7770903
161	176.9367456
162	175.228915
163	173.5981917
164	171.8534569
165	170.2850896
166	168.690512
167	167.1800202
168	165.6406352
169	164.1860428
170	162.60944
171	161.2114074
172	159.7604956
173	158.4140248
174	156.9412511
175	155.5670951
176	154.2912023
177	152.8959762
178	151.6707656
179	150.4001239
180	149.2199718
181	147.9785614
182	146.8427133
183	145.6558669
184	144.5621287
185	143.4151667
186	142.3621393
187	141.2431784
188	140.2301143
189	139.1590931
190	138.1840297
191	137.1038723
192	136.1660291
193	135.1573564
194	134.2554362
195	132.8473274
196	131.859374
197	130.8944003
198	130.0568053
199	129.1254662
200	128.3202476
201	127.4576336
202	126.6831414
203	125.6142331
204	124.7608613
205	123.5807106
206	122.7657116
207	121.6450759
208	120.5642406
209	119.892878
210	118.8635949
211	118.2224683
212	117.4958316
213	116.5318437
214	115.9279994
215	115.3398978
216	114.4338118
217	113.8723265
218	113.2181034
219	112.3703293
220	111.8417031
221	111.1425017
222	110.6384494
223	109.9715271
224	109.3860355
225	108.7516624
226	108.2873514
227	107.682236
228	107.0960282
229	106.6016777
230	106.0820534
231	105.6599645
232	105.0241489
233	104.6210643
234	104.0164285
235	103.5441342
236	103.1644774
237	102.7293878
238	102.1751711
239	101.8189566
240	101.3886645
241	101.0468199
242	100.653965
243	100.1526281
244	99.8319527
245	99.42043275
246	98.9526252
247	98.65296309
248	98.26642832
249	97.9293798
250	97.56103104
251	97.14013158
252	96.87099765
253	96.5252879
254	96.18852563
255	95.74451389
256	95.49901928
257	95.26037666
258	94.94921747
259	94.64620595
260	94.38252524
261	94.09412331
262	93.81333463
263	93.42838815
264	93.22383108
265	93.02506423
266	92.76591488
267	92.50498936
268	92.15811273
269	91.97542836
270	91.79794055
271	91.55594312
272	91.38577649
273	91.18428421
274	90.95569688
275	90.7333872
276	90.51719341
277	90.2279257
278	90.07408545
279	89.92465491
280	89.72416174
281	89.52922599
282	89.26103843
283	89.12185272
284	88.98667393
285	88.82936017
286	88.65284845
287	88.50296444
288	88.3347463
289	88.17124014
290	88.0482595
291	87.82322627
292	87.70576072
293	87.59170178
294	87.38034411
295	87.27136256
296	87.14527555
297	87.04072559
298	86.9194471
299	86.78245659
