iter	Passed	Remaining
0	0	127
1	1	170
2	3	217
3	10	505
4	14	583
5	15	506
6	18	499
7	22	544
8	25	536
9	28	532
10	32	558
11	38	597
12	42	613
13	52	695
14	57	714
15	83	963
16	100	1077
17	105	1071
18	122	1169
19	127	1150
20	132	1132
21	142	1149
22	145	1122
23	151	1108
24	155	1089
25	157	1054
26	166	1069
27	171	1052
28	178	1050
29	184	1045
30	192	1048
31	197	1038
32	225	1139
33	229	1122
34	235	1110
35	243	1107
36	246	1086
37	248	1060
38	253	1046
39	257	1030
40	264	1026
41	269	1015
42	274	1004
43	276	978
44	276	953
45	280	937
46	284	925
47	291	923
48	294	907
49	298	894
50	304	888
51	308	877
52	312	867
53	317	857
54	325	857
55	326	838
56	329	827
57	333	817
58	338	808
59	341	796
60	346	789
61	353	787
62	355	772
63	357	758
64	360	749
65	366	743
66	369	733
67	372	723
68	376	715
69	384	713
70	393	714
71	396	705
72	399	694
73	403	687
74	406	676
75	410	669
76	414	661
77	418	655
78	438	672
79	444	666
80	450	661
81	453	652
82	456	644
83	459	634
84	465	629
85	468	621
86	473	614
87	474	603
88	475	592
89	478	584
90	483	578
91	492	578
92	497	572
93	502	566
94	504	557
95	507	549
96	511	543
97	514	535
98	522	533
99	529	529
100	534	523
101	536	514
102	540	508
103	544	502
104	549	496
105	553	490
106	557	484
107	563	479
108	571	477
109	575	470
110	579	464
111	583	458
112	590	454
113	598	451
114	603	445
115	606	438
116	611	434
117	622	432
118	632	430
119	649	432
120	652	426
121	658	420
122	663	415
123	666	408
124	670	402
125	673	395
126	679	390
127	684	385
128	690	380
129	692	372
130	694	365
131	699	360
132	703	354
133	718	354
134	729	351
135	736	346
136	741	341
137	746	335
138	750	329
139	754	323
140	757	317
141	761	311
142	765	305
143	772	300
144	776	294
145	779	288
146	802	289
147	803	282
148	807	276
149	812	270
150	820	266
151	835	263
152	851	261
153	860	257
154	866	251
155	868	245
156	872	238
157	876	232
158	880	227
159	884	221
160	888	215
161	894	209
162	898	203
163	902	198
164	907	192
165	908	186
166	927	183
167	933	177
168	938	172
169	941	166
170	947	160
171	960	156
172	964	150
173	969	144
174	976	139
175	979	133
176	983	127
177	985	121
178	989	116
179	999	111
180	1001	105
181	1025	101
182	1029	95
183	1032	89
184	1035	83
185	1050	79
186	1056	73
187	1064	67
188	1067	62
189	1071	56
190	1074	50
191	1079	44
192	1085	39
193	1092	33
194	1093	28
195	1094	22
196	1096	16
197	1100	11
198	1105	5
199	1110	0
